old_stem,new_stem
normal_2026_04_10_14_44_18,lte_commercial_45005_2026_04_10_14_44_18
normal_2026_04_10_16_30_01,lte_commercial_45005_2026_04_10_16_30_01
normal_2026_04_13_14_34_31,lte_commercial_45005_2026_04_13_14_34_31
normal_2026_04_13_15_22_40,lte_commercial_45005_2026_04_13_15_22_40
normal_2026_04_13_15_26_14,3g_commercial_45005_2026_04_13_15_26_14
normal_2026_04_14_10_56_52,lte_commercial_45005_2026_04_14_10_56_52
normal_2026_04_14_13_27_04,lte_commercial_45005_2026_04_14_13_27_04
normal_2026_04_14_13_41_27,lte_commercial_45005_2026_04_14_13_41_27
normal_2026_04_14_13_54_11,lte_commercial_45005_2026_04_14_13_54_11
normal_2026_04_14_14_10_56,lte_commercial_45005_2026_04_14_14_10_56
normal_2026_04_14_14_35_51,lte_commercial_45005_2026_04_14_14_35_51
normal_2026_04_14_15_06_29,lte_commercial_45005_2026_04_14_15_06_29
normal_2026_04_14_15_35_52,lte_commercial_45005_2026_04_14_15_35_52
normal_2026_04_14_16_02_08,lte_commercial_45005_2026_04_14_16_02_08
normal_2026_04_15_14_15_17,3g_commercial_45005_2026_04_15_14_15_17
normal_2026_04_15_14_16_57,lte_commercial_45005_2026_04_15_14_16_57
normal_2026_04_15_14_17_31,3g_commercial_45005_2026_04_15_14_17_31
normal_2026_04_15_14_24_27,lte_commercial_45005_2026_04_15_14_24_27
normal_2026_04_15_14_54_29,3g_commercial_45005_2026_04_15_14_54_29
normal_2026_04_15_15_13_05,lte_commercial_45005_2026_04_15_15_13_05
normal_2026_04_15_15_39_25,3g_commercial_45005_2026_04_15_15_39_25
normal_2026_04_15_15_42_36,lte_commercial_45005_2026_04_15_15_42_36
normal_2026_04_15_15_43_26,lte_commercial_45005_2026_04_15_15_43_26
normal_2026_04_15_16_16_44,3g_commercial_45005_2026_04_15_16_16_44
normal_2026_04_15_16_40_41,lte_commercial_45005_2026_04_15_16_40_41
normal_2026_04_15_17_03_56,lte_commercial_45005_2026_04_15_17_03_56
normal_2026_04_15_17_04_50,lte_commercial_45005_2026_04_15_17_04_50
normal_2026_04_15_17_06_38,lte_commercial_45005_2026_04_15_17_06_38
normal_2026_04_15_17_39_37,lte_commercial_45005_2026_04_15_17_39_37
normal_2026_04_15_17_40_16,lte_commercial_45005_2026_04_15_17_40_16
normal_2026_04_16_10_57_05,lte_commercial_45005_2026_04_16_10_57_05
normal_2026_04_16_10_57_43,lte_commercial_45005_2026_04_16_10_57_43
normal_2026_04_16_12_51_27,lte_commercial_45005_2026_04_16_12_51_27
normal_2026_04_16_13_38_02,lte_commercial_45005_2026_04_16_13_38_02
normal_2026_04_16_13_54_42,lte_commercial_45005_2026_04_16_13_54_42
normal_2026_04_16_14_45_33,lte_commercial_45005_2026_04_16_14_45_33
normal_2026_04_16_17_22_52,lte_commercial_45005_2026_04_16_17_22_52
normal_2026_04_16_17_28_17,lte_commercial_45005_2026_04_16_17_28_17
